group,variable,value
04-01,2004,43
04-02,2004,41
04-03,2004,44
04-04,2004,45
04-05,2004,47
04-06,2004,109
04-07,2004,86
04-08,2004,60
04-09,2004,71
04-10,2004,41
04-11,2004,35
04-12,2004,49
04-13,2004,51
04-14,2004,44
04-15,2004,80
04-16,2004,130
04-17,2004,126
04-18,2004,121
04-19,2004,114
04-20,2004,40
04-21,2004,100
04-22,2004,46
04-23,2004,55
04-24,2004,103
04-25,2004,89
04-26,2004,44
04-27,2004,53
04-28,2004,111
04-29,2004,90
04-30,2004,94
05-01,2004,84
05-02,2004,37
05-03,2004,38
05-04,2004,45
05-05,2004,70
05-06,2004,124
05-07,2004,42
05-08,2004,70
05-09,2004,86
05-10,2004,61
05-11,2004,52
05-12,2004,111
05-13,2004,91
05-14,2004,115
05-15,2004,49
05-16,2004,67
05-17,2004,126
05-18,2004,57
05-19,2004,49
05-20,2004,72
05-21,2004,52
05-22,2004,101
05-23,2004,95
05-24,2004,46
05-25,2004,57
05-26,2004,51
05-27,2004,97
05-28,2004,62
05-29,2004,61
05-30,2004,115
05-31,2004,116
06-01,2004,58
06-02,2004,83
06-03,2004,36
06-04,2004,82
06-05,2004,87
06-06,2004,118
06-07,2004,133
06-08,2004,144
06-09,2004,79
06-10,2004,46
06-11,2004,40
06-12,2004,75
06-13,2004,106
06-14,2004,112
06-15,2004,85
06-16,2004,63
06-17,2004,84
06-18,2004,54
06-19,2004,38
06-20,2004,75
06-21,2004,114
06-22,2004,43
06-23,2004,58
06-24,2004,52
06-25,2004,55
06-26,2004,45
06-27,2004,39
06-28,2004,35
06-29,2004,54
06-30,2004,56
07-01,2004,97
07-02,2004,59
07-03,2004,87
07-04,2004,72
07-05,2004,45
07-06,2004,82
07-07,2004,59
07-08,2004,41
07-09,2004,74
07-10,2004,115
07-11,2004,112
07-12,2004,85
07-13,2004,140
07-14,2004,37
07-15,2004,57
07-16,2004,69
07-17,2004,62
07-18,2004,60
07-19,2004,64
07-20,2004,132
07-21,2004,126
07-22,2004,74
07-23,2004,33
07-24,2004,36
07-25,2004,62
07-26,2004,52
07-27,2004,36
07-28,2004,96
07-29,2004,81
07-30,2004,111
07-31,2004,75
08-01,2004,87
08-02,2004,101
08-03,2004,77
08-04,2004,45
08-05,2004,29
08-06,2004,32
08-07,2004,52
08-08,2004,52
08-09,2004,110
08-10,2004,61
08-11,2004,36
08-12,2004,25
08-13,2004,48
08-14,2004,54
08-15,2004,59
08-16,2004,81
08-17,2004,79
08-18,2004,91
08-19,2004,67
08-20,2004,65
08-21,2004,39
08-22,2004,76
08-23,2004,68
08-24,2004,101
08-25,2004,82
08-26,2004,105
08-27,2004,74
08-28,2004,52
08-29,2004,26
08-30,2004,40
08-31,2004,86
09-01,2004,65
09-02,2004,57
09-03,2004,127
09-04,2004,108
09-05,2004,124
09-06,2004,106
09-07,2004,42
09-08,2004,34
09-09,2004,27
09-10,2004,61
09-11,2004,97
09-12,2004,140
09-13,2004,111
09-14,2004,130
09-15,2004,122
09-16,2004,91
09-17,2004,39
09-18,2004,77
09-19,2004,101
09-20,2004,134
09-21,2004,91
09-22,2004,136
09-23,2004,143
09-24,2004,151
09-25,2004,34
09-26,2004,44
09-27,2004,96
09-28,2004,46
09-29,2004,29
09-30,2004,59
10-01,2004,84
10-02,2004,38
10-03,2004,61
10-04,2004,43
10-05,2004,35
10-06,2004,113
10-07,2004,111
10-08,2004,124
10-09,2004,53
10-10,2004,25
10-11,2004,37
10-12,2004,82
10-13,2004,85
10-14,2004,67
10-15,2004,91
10-16,2004,40
10-17,2004,23
10-18,2004,79
10-19,2004,54
10-20,2004,68
10-21,2004,39
10-22,2004,101
10-23,2004,61
10-24,2004,52
10-25,2004,69
10-26,2004,99
10-27,2004,94
10-28,2004,110
10-29,2004,81
10-30,2004,59
10-31,2004,16
11-01,2004,94
11-02,2004,71
11-03,2004,26
11-04,2004,117
11-05,2004,57
11-06,2004,51
11-07,2004,31
11-08,2004,32
11-09,2004,47
11-10,2004,60
11-11,2004,81
11-12,2004,29
11-13,2004,40
11-14,2004,80
11-15,2004,88
11-16,2004,88
11-17,2004,115
11-18,2004,67
11-19,2004,97
11-20,2004,68
11-21,2004,41
11-22,2004,69
11-23,2004,83
11-24,2004,39
11-25,2004,31
11-26,2004,65
11-27,2004,103
11-28,2004,87
11-29,2004,67
11-30,2004,135
12-01,2004,31
12-02,2004,89
12-03,2004,37
12-04,2004,61
12-05,2004,47
12-06,2004,125
12-07,2004,115
12-08,2004,52
12-09,2004,77
12-10,2004,48
12-11,2004,27
12-12,2004,66
12-13,2004,35
12-14,2004,31
12-15,2004,55
12-16,2004,67
12-17,2004,52
12-18,2004,80
12-19,2004,44
12-20,2004,108
12-21,2004,91
12-22,2004,45
12-23,2004,46
12-24,2004,50
12-25,2004,65
12-26,2004,85
12-27,2004,84
12-28,2004,101
12-29,2004,115
12-30,2004,104
12-31,2004,110
01-01,2005,49
01-02,2005,53
01-03,2005,59
01-04,2005,54
01-05,2005,34
01-06,2005,62
01-07,2005,82
01-08,2005,79
01-09,2005,101
01-10,2005,67
01-11,2005,109
01-12,2005,123
01-13,2005,132
01-14,2005,33
01-15,2005,34
01-16,2005,55
01-17,2005,41
01-18,2005,101
01-19,2005,84
01-20,2005,70
01-21,2005,117
01-22,2005,58
01-23,2005,25
01-24,2005,63
01-25,2005,148
01-26,2005,57
01-27,2005,56
01-28,2005,116
01-29,2005,105
01-30,2005,84
01-31,2005,108
02-01,2005,151
02-02,2005,141
02-03,2005,161
02-04,2005,161
02-05,2005,164
02-06,2005,157
02-07,2005,100
02-08,2005,56
02-09,2005,51
02-10,2005,44
02-11,2005,74
02-12,2005,66
02-13,2005,131
02-14,2005,102
02-15,2005,83
02-16,2005,43
02-17,2005,38
02-18,2005,32
02-19,2005,58
02-20,2005,86
02-21,2005,60
02-22,2005,69
02-23,2005,42
02-24,2005,119
02-25,2005,76
02-26,2005,39
02-27,2005,59
02-28,2005,75
03-01,2005,67
03-02,2005,43
03-03,2005,51
03-04,2005,83
03-05,2005,148
03-06,2005,71
03-07,2005,58
03-08,2005,33
03-09,2005,38
03-10,2005,55
03-11,2005,69
03-12,2005,43
03-13,2005,30
03-14,2005,118
03-15,2005,72
03-16,2005,74
03-17,2005,85
03-18,2005,76
03-19,2005,157
03-20,2005,100
03-21,2005,47
03-22,2005,57
03-23,2005,49
03-24,2005,103
03-25,2005,48
03-26,2005,92
03-27,2005,86
03-28,2005,86
03-29,2005,93
03-30,2005,80
03-31,2005,106
04-01,2005,51
04-02,2005,38
04-03,2005,45
04-04,2005,45
04-05,2005,120
04-06,2005,77
04-07,2005,83
04-08,2005,48
04-09,2005,102
04-10,2005,64
04-11,2005,60
04-12,2005,126
04-13,2005,41
04-14,2005,44
04-15,2005,56
04-16,2005,128
04-17,2005,82
04-18,2005,101
04-19,2005,126
04-20,2005,62
04-21,2005,47
04-22,2005,62
04-23,2005,33
04-24,2005,32
04-25,2005,70
04-26,2005,57
04-27,2005,42
04-28,2005,51
04-29,2005,90
04-30,2005,53
05-01,2005,57
05-02,2005,29
05-03,2005,46
05-04,2005,87
05-05,2005,106
05-06,2005,93
05-07,2005,100
05-08,2005,119
05-09,2005,112
05-10,2005,103
05-11,2005,65
05-12,2005,105
05-13,2005,105
05-14,2005,76
05-15,2005,30
05-16,2005,36
05-17,2005,61
05-18,2005,61
05-19,2005,106
05-20,2005,45
05-21,2005,99
05-22,2005,89
05-23,2005,108
05-24,2005,29
05-25,2005,42
05-26,2005,67
05-27,2005,46
05-28,2005,44
05-29,2005,41
05-30,2005,61
05-31,2005,144
06-01,2005,122
06-02,2005,108
06-03,2005,72
06-04,2005,105
06-05,2005,101
06-06,2005,74
06-07,2005,100
06-08,2005,156
06-09,2005,120
06-10,2005,161
06-11,2005,74
06-12,2005,113
06-13,2005,70
06-14,2005,93
06-15,2005,51
06-16,2005,27
06-17,2005,27
06-18,2005,30
06-19,2005,46
06-20,2005,114
06-21,2005,151
06-22,2005,49
06-23,2005,136
06-24,2005,202
06-25,2005,159
06-26,2005,143
06-27,2005,195
06-28,2005,136
06-29,2005,129
06-30,2005,70
07-01,2005,50
07-02,2005,54
07-03,2005,143
07-04,2005,185
07-05,2005,80
07-06,2005,52
07-07,2005,61
07-08,2005,57
07-09,2005,74
07-10,2005,154
07-11,2005,161
07-12,2005,115
07-13,2005,99
07-14,2005,101
07-15,2005,94
07-16,2005,87
07-17,2005,75
07-18,2005,95
07-19,2005,67
07-20,2005,161
07-21,2005,156
07-22,2005,61
07-23,2005,84
07-24,2005,73
07-25,2005,97
07-26,2005,64
07-27,2005,38
07-28,2005,65
07-29,2005,61
07-30,2005,62
07-31,2005,93
08-01,2005,84
08-02,2005,122
08-03,2005,159
08-04,2005,87
08-05,2005,53
08-06,2005,87
08-07,2005,136
08-08,2005,143
08-09,2005,126
08-10,2005,98
08-11,2005,85
08-12,2005,70
08-13,2005,61
08-14,2005,54
08-15,2005,51
08-16,2005,108
08-17,2005,74
08-18,2005,100
08-19,2005,71
08-20,2005,76
08-21,2005,40
08-22,2005,22
08-23,2005,26
08-24,2005,41
08-25,2005,114
08-26,2005,140
08-27,2005,71
08-28,2005,84
08-29,2005,87
08-30,2005,85
08-31,2005,55
09-01,2005,60
09-02,2005,40
09-03,2005,40
09-04,2005,44
09-05,2005,44
09-06,2005,92
09-07,2005,122
09-08,2005,76
09-09,2005,42
09-10,2005,89
09-11,2005,146
09-12,2005,143
09-13,2005,142
09-14,2005,78
09-15,2005,72
09-16,2005,55
09-17,2005,33
09-18,2005,62
09-19,2005,102
09-20,2005,42
09-21,2005,110
09-22,2005,74
09-23,2005,27
09-24,2005,82
09-25,2005,91
09-26,2005,36
09-27,2005,72
09-28,2005,111
09-29,2005,26
09-30,2005,43
10-01,2005,111
10-02,2005,107
10-03,2005,96
10-04,2005,144
10-05,2005,105
10-06,2005,106
10-07,2005,20
10-08,2005,13
10-09,2005,31
10-10,2005,55
10-11,2005,35
10-12,2005,29
10-13,2005,119
10-14,2005,108
10-15,2005,29
10-16,2005,20
10-17,2005,31
10-18,2005,38
10-19,2005,53
10-20,2005,36
10-21,2005,37
10-22,2005,44
10-23,2005,55
10-24,2005,31
10-25,2005,23
10-26,2005,25
10-27,2005,30
10-28,2005,54
10-29,2005,63
10-30,2005,103
10-31,2005,101
11-01,2005,47
11-02,2005,112
11-03,2005,120
11-04,2005,123
11-05,2005,98
11-06,2005,86
11-07,2005,55
11-08,2005,77
11-09,2005,104
11-10,2005,29
11-11,2005,89
11-12,2005,118
11-13,2005,110
11-14,2005,115
11-15,2005,92
11-16,2005,67
11-17,2005,26
11-18,2005,64
11-19,2005,102
11-20,2005,56
11-21,2005,77
11-22,2005,18
11-23,2005,54
11-24,2005,64
11-25,2005,43
11-26,2005,91
11-27,2005,85
11-28,2005,60
11-29,2005,87
11-30,2005,62
12-01,2005,60
12-02,2005,22
12-03,2005,83
12-04,2005,37
12-05,2005,52
12-06,2005,106
12-07,2005,77
12-08,2005,110
12-09,2005,83
12-10,2005,71
12-11,2005,60
12-12,2005,37
12-13,2005,110
12-14,2005,91
12-15,2005,79
12-16,2005,49
12-17,2005,56
12-18,2005,92
12-19,2005,69
12-20,2005,67
12-21,2005,91
12-22,2005,87
12-23,2005,91
12-24,2005,107
12-25,2005,81
12-26,2005,31
12-27,2005,85
12-28,2005,80
12-29,2005,33
12-30,2005,42
12-31,2005,60
01-01,2006,58
01-02,2006,131
01-03,2006,66
01-04,2006,56
01-05,2006,22
01-06,2006,34
01-07,2006,60
01-08,2006,116
01-09,2006,62
01-10,2006,55
01-11,2006,103
01-12,2006,111
01-13,2006,117
01-14,2006,26
01-15,2006,31
01-16,2006,117
01-17,2006,80
01-18,2006,31
01-19,2006,136
01-20,2006,77
01-21,2006,37
01-22,2006,95
01-23,2006,69
01-24,2006,57
01-25,2006,34
01-26,2006,50
01-27,2006,114
01-28,2006,74
01-29,2006,70
01-30,2006,42
01-31,2006,26
02-01,2006,102
02-02,2006,71
02-03,2006,54
02-04,2006,57
02-05,2006,35
02-06,2006,29
02-07,2006,36
02-08,2006,31
02-09,2006,46
02-10,2006,93
02-11,2006,91
02-12,2006,53
02-13,2006,67
02-14,2006,78
02-15,2006,85
02-16,2006,127
02-17,2006,31
02-18,2006,31
02-19,2006,69
02-20,2006,62
02-21,2006,77
02-22,2006,121
02-23,2006,64
02-24,2006,79
02-25,2006,102
02-26,2006,35
02-27,2006,52
02-28,2006,49
03-01,2006,89
03-02,2006,60
03-03,2006,39
03-04,2006,42
03-05,2006,60
03-06,2006,51
03-07,2006,47
03-08,2006,105
03-09,2006,127
03-10,2006,75
03-11,2006,84
03-12,2006,79
03-13,2006,91
03-14,2006,35
03-15,2006,36
03-16,2006,41
03-17,2006,43
03-18,2006,41
03-19,2006,42
03-20,2006,32
03-21,2006,41
03-22,2006,28
03-23,2006,40
03-24,2006,83
03-25,2006,52
03-26,2006,39
03-27,2006,84
03-28,2006,106
03-29,2006,146
03-30,2006,146
03-31,2006,119
04-01,2006,42
04-02,2006,61
04-03,2006,113
04-04,2006,38
04-05,2006,59
04-06,2006,74
04-07,2006,54
04-08,2006,38
04-09,2006,96
04-10,2006,80
04-11,2006,121
04-12,2006,105
04-13,2006,58
04-14,2006,56
04-15,2006,59
04-16,2006,43
04-17,2006,39
04-18,2006,92
04-19,2006,75
04-20,2006,58
04-21,2006,114
04-22,2006,70
04-23,2006,58
04-24,2006,56
04-25,2006,40
04-26,2006,47
04-27,2006,43
04-28,2006,67
04-29,2006,117
04-30,2006,134
05-01,2006,84
05-02,2006,82
05-03,2006,100
05-04,2006,49
05-05,2006,86
05-06,2006,39
05-07,2006,92
05-08,2006,119
05-09,2006,74
05-10,2006,110
05-11,2006,133
05-12,2006,87
05-13,2006,39
05-14,2006,90
05-15,2006,58
05-16,2006,42
05-17,2006,83
05-18,2006,28
05-19,2006,24
05-20,2006,44
05-21,2006,34
05-22,2006,39
05-23,2006,102
05-24,2006,105
05-25,2006,90
05-26,2006,54
05-27,2006,114
05-28,2006,115
05-29,2006,122
05-30,2006,112
05-31,2006,82
06-01,2006,53
06-02,2006,47
06-03,2006,38
06-04,2006,41
06-05,2006,54
06-06,2006,140
06-07,2006,105
06-08,2006,101
06-09,2006,35
06-10,2006,51
06-11,2006,44
06-12,2006,23
06-13,2006,60
06-14,2006,62
06-15,2006,71
06-16,2006,147
06-17,2006,164
06-18,2006,77
06-19,2006,67
06-20,2006,44
06-21,2006,90
06-22,2006,61
06-23,2006,40
06-24,2006,61
06-25,2006,87
06-26,2006,77
06-27,2006,77
06-28,2006,69
06-29,2006,40
06-30,2006,64
07-01,2006,136
07-02,2006,72
07-03,2006,62
07-04,2006,74
07-05,2006,51
07-06,2006,37
07-07,2006,77
07-08,2006,112
07-09,2006,108
07-10,2006,63
07-11,2006,62
07-12,2006,46
07-13,2006,90
07-14,2006,104
07-15,2006,71
07-16,2006,143
07-17,2006,108
07-18,2006,74
07-19,2006,61
07-20,2006,72
07-21,2006,45
07-22,2006,30
07-23,2006,43
07-24,2006,74
07-25,2006,85
07-26,2006,90
07-27,2006,97
07-28,2006,93
07-29,2006,93
07-30,2006,96
07-31,2006,126
08-01,2006,108
08-02,2006,90
08-03,2006,42
08-04,2006,82
08-05,2006,69
08-06,2006,115
08-07,2006,77
08-08,2006,44
08-09,2006,81
08-10,2006,84
08-11,2006,35
08-12,2006,70
08-13,2006,62
08-14,2006,78
08-15,2006,44
08-16,2006,50
08-17,2006,64
08-18,2006,149
08-19,2006,97
08-20,2006,38
08-21,2006,64
08-22,2006,75
08-23,2006,72
08-24,2006,114
08-25,2006,115
08-26,2006,93
08-27,2006,81
08-28,2006,51
08-29,2006,51
08-30,2006,54
08-31,2006,31
09-01,2006,59
09-02,2006,50
09-03,2006,33
09-04,2006,52
09-05,2006,110
09-06,2006,50
09-07,2006,52
09-08,2006,96
09-09,2006,47
09-10,2006,107
09-11,2006,89
09-12,2006,106
09-13,2006,66
09-14,2006,56
09-15,2006,55
09-16,2006,60
09-17,2006,89
09-18,2006,84
09-19,2006,29
09-20,2006,27
09-21,2006,40
09-22,2006,56
09-23,2006,64
09-24,2006,27
09-25,2006,31
09-26,2006,68
09-27,2006,59
09-28,2006,19
09-29,2006,31
09-30,2006,92
10-01,2006,28
10-02,2006,69
10-03,2006,77
10-04,2006,53
10-05,2006,20
10-06,2006,31
10-07,2006,50
10-08,2006,75
10-09,2006,61
10-10,2006,56
10-11,2006,108
10-12,2006,33
10-13,2006,44
10-14,2006,32
10-15,2006,37
10-16,2006,64
10-17,2006,52
10-18,2006,84
10-19,2006,54
10-20,2006,36
10-21,2006,66
10-22,2006,34
10-23,2006,35
10-24,2006,21
10-25,2006,27
10-26,2006,69
10-27,2006,110
10-28,2006,22
10-29,2006,74
10-30,2006,119
10-31,2006,42
11-01,2006,48
11-02,2006,41
11-03,2006,45
11-04,2006,73
11-05,2006,87
11-06,2006,105
11-07,2006,66
11-08,2006,57
11-09,2006,61
11-10,2006,37
11-11,2006,19
11-12,2006,24
11-13,2006,79
11-14,2006,88
11-15,2006,78
11-16,2006,43
11-17,2006,28
11-18,2006,63
11-19,2006,36
11-20,2006,26
11-21,2006,101
11-22,2006,103
11-23,2006,110
11-24,2006,69
11-25,2006,109
11-26,2006,89
11-27,2006,95
11-28,2006,130
11-29,2006,123
11-30,2006,119
12-01,2006,31
12-02,2006,38
12-03,2006,38
12-04,2006,66
12-05,2006,59
12-06,2006,57
12-07,2006,154
12-08,2006,44
12-09,2006,62
12-10,2006,66
12-11,2006,77
12-12,2006,62
12-13,2006,121
12-14,2006,69
12-15,2006,32
12-16,2006,101
12-17,2006,91
12-18,2006,37
12-19,2006,190
12-20,2006,95
12-21,2006,76
12-22,2006,70
12-23,2006,52
12-24,2006,38
12-25,2006,98
12-26,2006,51
12-27,2006,64
12-28,2006,99
12-29,2006,97
12-30,2006,91
12-31,2006,82
01-01,2007,23
01-02,2007,32
01-03,2007,108
01-04,2007,73
01-05,2007,44
01-06,2007,56
01-07,2007,90
01-08,2007,27
01-09,2007,51
01-10,2007,41
01-11,2007,114
01-12,2007,83
01-13,2007,39
01-14,2007,55
01-15,2007,47
01-16,2007,34
01-17,2007,56
01-18,2007,81
01-19,2007,62
01-20,2007,49
01-21,2007,75
01-22,2007,77
01-23,2007,62
01-24,2007,62
01-25,2007,35
01-26,2007,79
01-27,2007,73
01-28,2007,26
01-29,2007,55
01-30,2007,77
01-31,2007,62
02-01,2007,63
02-02,2007,81
02-03,2007,63
02-04,2007,45
02-05,2007,85
02-06,2007,53
02-07,2007,51
02-08,2007,73
02-09,2007,51
02-10,2007,51
02-11,2007,98
02-12,2007,81
02-13,2007,51
02-14,2007,40
02-15,2007,36
02-16,2007,63
02-17,2007,90
02-18,2007,102
02-19,2007,105
02-20,2007,85
02-21,2007,116
02-22,2007,54
02-23,2007,27
02-24,2007,46
02-25,2007,109
02-26,2007,71
02-27,2007,30
02-28,2007,79
03-01,2007,107
03-02,2007,35
03-03,2007,33
03-04,2007,40
03-05,2007,43
03-06,2007,52
03-07,2007,59
03-08,2007,74
03-09,2007,70
03-10,2007,81
03-11,2007,52
03-12,2007,94
03-13,2007,93
03-14,2007,68
03-15,2007,34
03-16,2007,39
03-17,2007,62
03-18,2007,40
03-19,2007,94
03-20,2007,55
03-21,2007,101
03-22,2007,71
03-23,2007,50
03-24,2007,67
03-25,2007,101
03-26,2007,71
03-27,2007,40
03-28,2007,53
03-29,2007,110
03-30,2007,61
03-31,2007,110
04-01,2007,104
04-02,2007,41
04-03,2007,60
04-04,2007,33
04-05,2007,34
04-06,2007,33
04-07,2007,29
04-08,2007,31
04-09,2007,71
04-10,2007,60
04-11,2007,61
04-12,2007,67
04-13,2007,45
04-14,2007,46
04-15,2007,82
04-16,2007,60
04-17,2007,45
04-18,2007,51
04-19,2007,45
04-20,2007,47
04-21,2007,110
04-22,2007,108
04-23,2007,114
04-24,2007,55
04-25,2007,37
04-26,2007,51
04-27,2007,51
04-28,2007,48
04-29,2007,48
04-30,2007,67
05-01,2007,44
05-02,2007,64
05-03,2007,64
05-04,2007,46
05-05,2007,42
05-06,2007,60
05-07,2007,72
05-08,2007,112
05-09,2007,87
05-10,2007,77
05-11,2007,71
05-12,2007,69
05-13,2007,49
05-14,2007,115
05-15,2007,87
05-16,2007,30
05-17,2007,42
05-18,2007,62
05-19,2007,63
05-20,2007,54
05-21,2007,54
05-22,2007,117
05-23,2007,177
05-24,2007,150
05-25,2007,61
05-26,2007,44
05-27,2007,87
05-28,2007,112
05-29,2007,119
05-30,2007,156
05-31,2007,169
06-01,2007,143
06-02,2007,129
06-03,2007,52
06-04,2007,46
06-05,2007,67
06-06,2007,47
06-07,2007,124
06-08,2007,65
06-09,2007,50
06-10,2007,129
06-11,2007,133
06-12,2007,55
06-13,2007,55
06-14,2007,97
06-15,2007,74
06-16,2007,143
06-17,2007,115
06-18,2007,169
06-19,2007,50
06-20,2007,51
06-21,2007,51
06-22,2007,40
06-23,2007,60
06-24,2007,97
06-25,2007,156
06-26,2007,140
06-27,2007,54
06-28,2007,39
06-29,2007,47
06-30,2007,51
07-01,2007,26
07-02,2007,52
07-03,2007,61
07-04,2007,76
07-05,2007,100
07-06,2007,58
07-07,2007,52
07-08,2007,97
07-09,2007,93
07-10,2007,122
07-11,2007,40
07-12,2007,44
07-13,2007,30
07-14,2007,54
07-15,2007,40
07-16,2007,71
07-17,2007,69
07-18,2007,71
07-19,2007,46
07-20,2007,29
07-21,2007,46
07-22,2007,39
07-23,2007,50
07-24,2007,59
07-25,2007,66
07-26,2007,90
07-27,2007,100
07-28,2007,77
07-29,2007,62
07-30,2007,61
07-31,2007,187
08-01,2007,179
08-02,2007,187
08-03,2007,108
08-04,2007,62
08-05,2007,55
08-06,2007,63
08-07,2007,56
08-08,2007,90
08-09,2007,48
08-10,2007,63
08-11,2007,49
08-12,2007,93
08-13,2007,41
08-14,2007,61
08-15,2007,57
08-16,2007,70
08-17,2007,38
08-18,2007,33
08-19,2007,37
08-20,2007,30
08-21,2007,53
08-22,2007,81
08-23,2007,67
08-24,2007,80
08-25,2007,42
08-26,2007,37
08-27,2007,46
08-28,2007,112
08-29,2007,147
08-30,2007,27
08-31,2007,40
09-01,2007,51
09-02,2007,61
09-03,2007,71
09-04,2007,67
09-05,2007,156
09-06,2007,108
09-07,2007,91
09-08,2007,48
09-09,2007,54
09-10,2007,49
09-11,2007,31
09-12,2007,23
09-13,2007,69
09-14,2007,55
09-15,2007,52
09-16,2007,43
09-17,2007,59
09-18,2007,102
09-19,2007,112
09-20,2007,49
09-21,2007,140
09-22,2007,54
09-23,2007,43
09-24,2007,101
09-25,2007,71
09-26,2007,38
09-27,2007,43
09-28,2007,33
09-29,2007,64
09-30,2007,72
10-01,2007,106
10-02,2007,102
10-03,2007,113
10-04,2007,69
10-05,2007,79
10-06,2007,82
10-07,2007,78
10-08,2007,83
10-09,2007,48
10-10,2007,15
10-11,2007,110
10-12,2007,27
10-13,2007,42
10-14,2007,53
10-15,2007,57
10-16,2007,59
10-17,2007,64
10-18,2007,95
10-19,2007,85
10-20,2007,38
10-21,2007,117
10-22,2007,102
10-23,2007,28
10-24,2007,30
10-25,2007,39
10-26,2007,32
10-27,2007,53
10-28,2007,34
10-29,2007,50
10-30,2007,94
10-31,2007,79
11-01,2007,31
11-02,2007,71
11-03,2007,60
11-04,2007,57
11-05,2007,90
11-06,2007,16
11-07,2007,31
11-08,2007,64
11-09,2007,63
11-10,2007,75
11-11,2007,97
11-12,2007,92
11-13,2007,82
11-14,2007,54
11-15,2007,14
11-16,2007,34
11-17,2007,67
11-18,2007,36
11-19,2007,62
11-20,2007,91
11-21,2007,41
11-22,2007,8
11-23,2007,33
11-24,2007,55
11-25,2007,71
11-26,2007,93
11-27,2007,52
11-28,2007,60
11-29,2007,54
11-30,2007,42
12-01,2007,34
12-02,2007,76
12-03,2007,8
12-04,2007,12
12-05,2007,59
12-06,2007,55
12-07,2007,70
12-08,2007,62
12-09,2007,68
12-10,2007,84
12-11,2007,79
12-12,2007,48
12-13,2007,52
12-14,2007,54
12-15,2007,33
12-16,2007,23
12-17,2007,73
12-18,2007,104
12-19,2007,71
12-20,2007,97
12-21,2007,70
12-22,2007,64
12-23,2007,57
12-24,2007,53
12-25,2007,62
12-26,2007,99
12-27,2007,81
12-28,2007,61
12-29,2007,92
12-30,2007,67
12-31,2007,91
01-01,2008,61
01-02,2008,37
01-03,2008,72
01-04,2008,94
01-05,2008,94
01-06,2008,82
01-07,2008,70
01-08,2008,90
01-09,2008,34
01-10,2008,80
01-11,2008,28
01-12,2008,71
01-13,2008,77
01-14,2008,44
01-15,2008,32
01-16,2008,72
01-17,2008,74
01-18,2008,42
01-19,2008,40
01-20,2008,30
01-21,2008,55
01-22,2008,56
01-23,2008,60
01-24,2008,54
01-25,2008,68
01-26,2008,77
01-27,2008,97
01-28,2008,105
01-29,2008,105
01-30,2008,30
01-31,2008,73
02-01,2008,60
02-02,2008,71
02-03,2008,81
02-04,2008,79
02-05,2008,50
02-06,2008,48
02-07,2008,34
02-08,2008,68
02-09,2008,72
02-10,2008,26
02-11,2008,41
02-12,2008,62
02-13,2008,51
02-14,2008,72
02-15,2008,54
02-16,2008,61
02-17,2008,65
02-18,2008,59
02-19,2008,37
02-20,2008,39
02-21,2008,42
02-22,2008,57
02-23,2008,70
02-24,2008,93
02-25,2008,94
02-26,2008,70
02-27,2008,43
02-28,2008,43
02-29,2008,40
03-01,2008,43
03-02,2008,63
03-03,2008,112
03-04,2008,33
03-05,2008,35
03-06,2008,77
03-07,2008,40
03-08,2008,37
03-09,2008,54
03-10,2008,108
03-11,2008,87
03-12,2008,61
03-13,2008,70
03-14,2008,51
03-15,2008,54
03-16,2008,28
03-17,2008,29
03-18,2008,60
03-19,2008,48
03-20,2008,30
03-21,2008,30
03-22,2008,44
03-23,2008,49
03-24,2008,55
03-25,2008,105
03-26,2008,38
03-27,2008,60
03-28,2008,35
03-29,2008,31
03-30,2008,48
03-31,2008,111
04-01,2008,86
04-02,2008,43
04-03,2008,52
04-04,2008,65
04-05,2008,71
04-06,2008,60
04-07,2008,96
04-08,2008,47
04-09,2008,77
04-10,2008,38
04-11,2008,81
04-12,2008,33
04-13,2008,38
04-14,2008,40
04-15,2008,96
04-16,2008,113
04-17,2008,97
04-18,2008,108
04-19,2008,105
04-20,2008,67
04-21,2008,74
04-22,2008,55
04-23,2008,56
04-24,2008,68
04-25,2008,119
04-26,2008,112
04-27,2008,58
04-28,2008,42
04-29,2008,59
04-30,2008,59
05-01,2008,58
05-02,2008,76
05-03,2008,57
05-04,2008,57
05-05,2008,74
05-06,2008,102
05-07,2008,106
05-08,2008,37
05-09,2008,43
05-10,2008,45
05-11,2008,39
05-12,2008,38
05-13,2008,58
05-14,2008,62
05-15,2008,43
05-16,2008,51
05-17,2008,48
05-18,2008,38
05-19,2008,44
05-20,2008,44
05-21,2008,31
05-22,2008,26
05-23,2008,33
05-24,2008,39
05-25,2008,103
05-26,2008,71
05-27,2008,34
05-28,2008,41
05-29,2008,104
05-30,2008,103
05-31,2008,50
06-01,2008,44
06-02,2008,87
06-03,2008,56
06-04,2008,76
06-05,2008,82
06-06,2008,103
06-07,2008,67
06-08,2008,46
06-09,2008,54
06-10,2008,50
06-11,2008,77
06-12,2008,87
06-13,2008,74
06-14,2008,50
06-15,2008,67
06-16,2008,48
06-17,2008,34
06-18,2008,21
06-19,2008,35
06-20,2008,108
06-21,2008,67
06-22,2008,47
06-23,2008,48
06-24,2008,116
06-25,2008,65
06-26,2008,77
06-27,2008,97
06-28,2008,49
06-29,2008,44
06-30,2008,31
07-01,2008,74
07-02,2008,92
